case_id,document_name,error_id,error_type,severity,requires_cross_document_comparison,expected_finding_short
CASE_01,document_01_deviation_report.md,ERR_01_01,Datenintegrität,medium,false,"Ungültiges, in der Zukunft liegendes Signaturdatum der QS-Prüfung."
CASE_01,document_01_deviation_report.md,ERR_01_02,Abweichungsmanagement,high,false,Fehlklassifizierung einer kritischen Prozessparameter-Abweichung.
CASE_02,document_02_batch_record_excerpt.md,ERR_02_01,Datenintegrität,high,false,Undokumentierte und nicht gegengezeichnete manuelle Datenkorrektur im Ausbeuteprotokoll.
CASE_02,document_02_batch_record_excerpt.md,ERR_02_02,Batch-/Produktimpact,medium,false,Yield außerhalb der Toleranzgrenze ohne Einleitung einer OOS/Abweichungsuntersuchung.
CASE_03,document_01_deviation_report.md,ERR_03_01,Datenintegrität,high,false,Anachronistische Zeitstempel zwischen Raum-Logbuch und Probenahme-Protokoll.
CASE_03,document_03_capa_plan.md,ERR_03_02,Regulatory / GMP Consistency,medium,false,"Referenzierung einer veralteten, potenziell ungültigen SOP-Version im CAPA-Plan."
CASE_04,document_01_deviation_report.md,ERR_04_01,Dokumentenwidersprüche,high,true,Diskrepanz des maximalen Temperaturwerts zwischen Abweichungsbericht und Herstellprotokoll.
CASE_04,document_03_capa_plan.md,ERR_04_02,CAPA,high,true,Fehlende Verknüpfung zwischen technischer Root Cause und personeller CAPA-Maßnahme.
CASE_04,document_04_quality_approval_note.md,ERR_04_03,Batch-/Produktimpact,critical,true,Kritische Chargenfreigabe beruhend auf fehlerhafter und unvollständiger Abweichungsbewertung.
CASE_05,document_02_validation_note.md,ERR_05_01,Regulatory / GMP Consistency,medium,false,Verweis auf ein nicht vorhandenes bzw. fehlendes Dokumentenelement (Anhang 4).
CASE_05,document_03_environmental_monitoring_report.md,ERR_05_02,Dokumentenwidersprüche,high,true,Kritischer Zeitkonflikt zwischen manuellem Prozess-Logbuch und automatisiertem Zutrittskontrollsystem.
CASE_05,document_03_environmental_monitoring_report.md,ERR_05_03,Datenintegrität,medium,true,Mangelnde Zuordnungsgenauigkeit von Unterschrift/Initialen zur Personalnummer.
CASE_06,document_01_supplier_coa.md,ERR_06_01,Regulatory / GMP Consistency,high,true,Akzeptanzkriterium der internen Spezifikation wird durch das Lieferanten-Zertifikat verletzt.
CASE_06,document_03_quality_approval_note.md,ERR_06_02,Batch-/Produktimpact,critical,true,Wirkstofffreigabe durch QA trotz ungelöster und aktive Laborabweichung.
CASE_07,document_02_batch_record_excerpt.md,ERR_07_01,Batch-/Produktimpact,high,true,Yield-Unterschreitung wird fälschlicherweise als konform deklariert.
CASE_07,document_03_capa_plan.md,ERR_07_02,CAPA,medium,false,Fehlen des regulatorisch geforderten Effectiveness Checks im CAPA-Dokument.
CASE_08,document_01_deviation_report.md,ERR_08_01,Abweichungsmanagement,critical,true,Unerkannter bzw. bewusst ignorierter Wiederholungsfehler (Trend-Fehler) bei Stempelbeschädigungen.
CASE_08,document_01_deviation_report.md,ERR_08_02,Batch-/Produktimpact,high,true,Mangelhafte Ausdehnung des Batch-Impact-Assessments auf potenziell mitbetroffene Vorgängerchargen.
CASE_08,document_03_capa_plan.md,ERR_08_03,CAPA,medium,false,"Unrealistisches, nicht plausibles CAPA-Zieldatum ohne adäquate Projektrealisierungszeit."
CASE_09,document_02_batch_record_excerpt.md,ERR_09_01,Datenintegrität,critical,true,Intentionale Falschdokumentation im Batch Record im Widerspruch zum SCADA-Audit-Trail.
CASE_09,document_01_deviation_report.md,ERR_09_02,Regulatory / GMP Consistency,high,true,Fehlerhafte Root-Cause-Ermittlung durch Ignorieren der System-Logfiles.
CASE_09,document_03_change_control.md,ERR_09_03,Datenintegrität,medium,false,Unvollständig genehmigtes Change-Control-Dokument ohne finale QK-Freigabe.
CASE_10,document_01_stability_assessment.md,ERR_10_01,Abweichungsmanagement,critical,false,Unzulässiges Aufschieben von Folgemaßnahmen bei einem manifesten OOS-Stabilitätsfehler.
CASE_10,document_02_capa_plan.md,ERR_10_02,CAPA,high,false,Fehlende Definition des Maßnahmenverantwortlichen im CAPA-Formular.
CASE_10,document_03_qa_approval_note.md,ERR_10_03,Dokumentenwidersprüche,critical,true,"Grob fehlerhafte, verharmlosende QS-Bewertung eines kritischen Marktwaren-Stabilitätsausfalls."
